"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"NY","New York","21-0000","Community and social services occupations","major","186320","19.91","41420"
"NY","New York","43-9061","Office clerks, general",NA,"186340","12.85","26720"
"MI","Michigan","51-9198","Helpers--production workers",NA,"18640","11.89","24720"
"NJ","New Jersey","49-3023","Automotive service technicians and mechanics",NA,"18640","18.67","38840"
"MI","Michigan","29-2061","Licensed practical and licensed vocational nurses",NA,"18650","19.42","40400"
"MA","Massachusetts","41-4011","Sales representatives, wholesale and manufacturing, technical and scientific products",NA,"18650","42.57","88550"
"CA","California","13-1022","Wholesale and retail buyers, except farm products",NA,"18670","25.93","53930"
"FL","Florida","35-2011","Cooks, fast food",NA,"18680","8.27","17190"
"FL","Florida","11-1011","Chief executives",NA,"18690","78.93","164180"
"MI","Michigan","35-2011","Cooks, fast food",NA,"18690","8.10","16850"
"CA","California","43-1011","First-line supervisors/managers of office and administrative support workers",NA,"186970","24.69","51360"
"KY","Kentucky","51-3022","Meat, poultry, and fish cutters and trimmers",NA,"1870","10.11","21030"
"NC","North Carolina","27-1023","Floral designers",NA,"1870","10.87","22600"
"MS","Mississippi","51-7011","Cabinetmakers and bench carpenters",NA,"1870","11.69","24320"
"NY","New York","39-4021","Funeral attendants",NA,"1870","12.03","25020"
"WA","Washington","43-5021","Couriers and messengers",NA,"1870","12.07","25100"
"NY","New York","51-9022","Grinding and polishing workers, hand",NA,"1870","12.16","25300"
"GA","Georgia","51-6061","Textile bleaching and dyeing machine operators and tenders",NA,"1870","12.63","26270"
"MS","Mississippi","47-2141","Painters, construction and maintenance",NA,"1870","13.25","27550"
"SC","South Carolina","51-9121","Coating, painting, and spraying machine setters, operators, and tenders",NA,"1870","13.76","28620"
"MD","Maryland","51-9199","Production workers, all other",NA,"1870","13.97","29060"
"MO","Missouri","51-9121","Coating, painting, and spraying machine setters, operators, and tenders",NA,"1870","14.31","29760"
"AL","Alabama","47-2151","Pipelayers",NA,"1870","14.54","30230"
